cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
0,0,0,0,7,1,2,0,1,1,1,1,1,1,173,179,173,179,28,0.709843580382,1.83988329145,167,[ 1.7],1,11,21,31,41,51,61,71,76,1,0.659606386584,1,1.69009801126,176.0,1.1
0,0,0,0,7,1,2,0,1,1,1,1,2,1,74,98,74,98,37,1.09977192499,2.64972053225,66,[ 2.],1,11,21,31,41,51,61,71,76,1,0.709671419958,1,2.3700334496,49.0,1.0
1,1,0,0,7,1,2,1,1,0,1,1,3,1,8,33,8,33,18,0.479913264797,1.65992096244,24,[ 1.5],2,13,23,33,43,53,63,73,78,1,0.589659377743,1,1.45021243635,14.0,1.3
1,1,0,0,7,1,2,1,1,0,1,1,4,1,126,170,126,170,175,0.489888654567,1.91991145005,127,[ 1.8],2,13,23,33,43,53,63,73,78,1,0.509617698692,1,2.0401431245,142.0,1.2
1,1,1,1,7,2,1,1,1,0,1,1,5,1,137,65,65,137,159,0.489847792756,1.71984811424,70,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.519612918462,0,nan,93.0,1.2
0,0,0,1,7,1,2,0,2,2,1,1,6,1,52,151,151,52,3,0.919794272799,2.23981647038,150,[ 2.],1,12,22,32,42,52,62,72,77,1,0.34973955102,1,1.20045182348,162.0,1.2
0,0,1,1,7,2,1,0,1,1,1,1,7,1,37,159,159,37,36,0.929763653479,2.77972118423,156,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.539656838901,1,1.72012783738,169.0,1.3
0,0,0,1,7,1,2,0,2,2,1,1,8,1,116,94,94,116,33,1.22981133561,2.37978409941,128,[ 1.8],1,12,22,32,42,52,62,72,77,1,0.419621060777,1,1.48019418975,153.0,1.0
1,1,0,1,7,1,2,2,2,0,1,1,9,1,28,113,113,28,13,0.469901219574,2.02979006343,119,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.589578255029,1,1.29012577326,134.0,1.1
0,0,1,0,7,2,1,0,2,2,1,1,10,1,109,148,109,148,60,0.809894026694,2.15990128267,112,[ 1.5],1,11,21,31,41,51,61,71,76,1,0.649589834542,1,1.54023311063,125.0,1.2
0,0,0,0,7,1,2,0,1,1,1,1,11,1,179,17,179,17,71,0.569850713175,2.43981851347,3,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.469635918256,1,1.56015895245,-4.0,1.3
1,1,0,1,7,1,2,2,2,0,1,1,12,1,52,100,100,52,162,0.469903022302,2.04988536159,117,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.32971816467,1,1.32023702254,131.0,1.1
1,1,1,1,7,2,1,1,1,0,1,1,13,1,72,161,161,72,132,0.459909004348,1.89989126552,165,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.309682356499,1,1.47023262088,178.0,1.2
0,0,1,0,7,2,1,0,2,2,1,1,14,1,153,25,153,25,46,0.849806702598,2.30978360966,163,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.709640473146,1,2.38008515481,171.0,1.2
0,0,0,0,7,1,2,0,1,1,1,1,15,1,78,42,78,42,138,0.669809821316,2.02978916206,63,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.279682275377,1,1.43018413955,88.0,1.4
1,1,0,0,7,1,2,1,1,0,1,1,16,1,6,22,6,22,97,0.599839977935,2.08982207385,13,[ 1.8],2,13,23,33,43,53,63,73,78,1,0.349692079209,1,1.78016796007,22.0,1.1
0,0,1,0,7,2,1,0,2,2,1,1,17,1,137,139,137,139,7,0.649856037231,2.48980002049,137,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.569651211386,1,2.34008114074,149.0,1.5
1,1,0,1,7,1,2,2,2,0,1,1,18,1,149,97,97,149,89,0.309879454653,1.43986929028,104,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.329693827854,1,1.63021322354,114.0,1.2
1,1,0,0,7,1,2,1,1,0,1,1,19,1,11,124,11,124,157,0.379925012567,1.72992355537,25,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.379732721685,1,1.84022671094,15.0,1.3
1,1,1,0,7,2,1,2,2,0,1,1,20,1,5,76,5,76,177,0.349894285082,1.33997748394,20,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.339677029442,1,1.27022907552,8.0,1.4
0,0,0,1,7,1,2,0,2,2,1,1,21,1,101,18,18,101,89,0.929789793023,2.20982960925,2,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.269728217874,1,1.09026975105,-12.0,1.3
1,1,1,0,7,2,1,2,2,0,1,1,22,1,133,85,133,85,171,0.349944160531,1.86989238621,143,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.31968508763,1,1.23026982917,157.0,1.3
0,0,0,1,7,1,2,0,2,2,1,1,23,1,131,169,169,131,74,0.689855244029,2.35982761123,178,[ 2.],1,12,22,32,42,52,62,72,77,1,0.38965132556,1,2.14004364402,-165.0,1.1
1,1,0,1,7,1,2,2,2,0,1,1,24,1,175,81,81,175,85,0.329927281,1.58988892498,69,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.299683230824,1,1.5601823879,84.0,1.2
0,0,1,1,7,2,1,0,1,1,1,1,25,1,72,74,74,72,62,0.769853056721,2.07988784635,84,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.459689672567,1,1.67019590535,104.0,1.2
1,1,1,1,7,2,1,1,1,0,1,1,26,1,95,102,102,95,40,0.359914142125,1.65983623427,116,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.289655862423,1,1.28019605257,146.0,1.4
1,1,1,0,7,2,1,2,2,0,1,1,27,1,95,15,95,15,54,0.369968851883,1.53989930568,112,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.379690057151,1,1.4102228441,126.0,1.2
1,1,1,0,7,2,1,2,2,0,1,1,28,1,106,147,106,147,67,0.349869347363,1.72987818673,117,[ 2.],2,13,23,33,43,53,63,73,78,1,0.509651349596,1,1.57023078811,141.0,1.4
1,1,1,1,7,2,1,1,1,0,1,1,29,1,108,60,60,108,82,0.279878472167,1.68987567493,49,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.36976694646,1,0.930247986129,66.0,1.0
0,0,1,1,7,2,1,0,1,1,1,1,30,1,106,94,94,106,173,0.589947513607,2.16986735836,111,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.379657908521,1,1.41017146638,129.0,1.2
0,0,1,1,7,2,1,0,1,1,1,1,31,1,108,102,102,108,135,0.539836210235,1.45995437298,124,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.319643624909,1,0.990214497469,140.0,1.4
0,0,1,0,7,2,1,0,2,2,1,1,32,1,60,97,60,97,163,0.589919270882,1.93989017186,49,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.40972408963,1,1.05023599198,64.0,1.0
