cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
1,1,1,1,23,2,1,1,1,0,1,1,113,4,38,86,86,38,123,0.479888901309,nan,90,[ 1.7],2,14,24,34,44,54,64,74,79,0,1.33955078583,1,2.23009201337,128.0,1.0
0,0,0,0,23,1,2,0,1,1,1,1,114,4,97,39,97,39,167,1.09981064908,2.62974143474,84,[ 1.7],1,11,21,31,41,51,61,71,76,1,1.02956091739,1,1.84018746402,116.0,1.1
1,1,0,1,23,1,2,2,2,0,1,1,115,4,137,64,64,137,52,0.479948392711,1.02010599084,52,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.479666559702,1,1.22027773471,42.0,1.3
1,1,1,0,23,2,1,2,2,0,1,1,116,4,70,88,70,88,20,0.389891028575,1.84986082617,47,[ 1.6],2,13,23,33,43,53,63,73,78,1,1.08957031583,1,2.77012011254,21.0,1.2
0,0,1,1,23,2,1,0,1,1,1,1,117,4,53,141,141,53,38,1.13978616747,1.73989126895,38,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.479730257568,1,1.15029541387,22.0,1.4
0,0,1,0,23,2,1,0,2,2,1,1,118,4,133,133,133,133,125,0.399948681155,1.60986469612,127,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.819636789964,1,2.03021922882,147.0,1.4
1,1,0,1,23,1,2,2,2,0,1,1,119,4,175,62,62,175,162,7.95901432962,8.72913504308,162,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.759649625685,1,1.3802209715,-180.0,1.0
1,1,0,1,23,1,2,2,2,0,1,1,120,4,39,30,30,39,168,0.589900222703,1.66995191412,26,[ 2.],2,14,24,34,44,54,64,74,79,1,0.709686462282,1,1.35031332139,11.0,1.2
1,1,0,1,23,1,2,2,2,0,1,1,121,4,109,160,160,109,144,0.349854816941,1.41993418688,169,[ 1.9],2,14,24,34,44,54,64,74,79,1,2.73943066127,1,3.22003706495,-170.0,1.2
1,1,1,0,23,2,1,2,2,0,1,1,122,4,152,62,152,62,39,0.959811754779,1.9398908483,167,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.649607056283,1,1.54015609583,-177.0,1.2
0,0,0,1,23,1,2,0,2,2,1,1,123,4,2,55,55,2,8,0.599948861431,1.4999122652,165,[ 1.5],1,12,22,32,42,52,62,72,77,1,0.629644085173,1,1.21032704647,171.0,1.5
1,1,1,0,23,2,1,2,2,0,1,1,124,4,67,124,67,124,81,0.889867592568,1.57995223862,23,[ 1.5],2,13,23,33,43,53,63,73,78,1,0.279719561135,1,0.99033084431,-1.0,1.5
0,0,1,0,23,2,1,0,2,2,1,1,125,4,95,8,95,8,23,0.689918490769,2.18006485164,146,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.839634013699,1,1.4802037851,-176.0,1.0
0,0,1,0,23,2,1,0,2,2,1,1,126,4,128,124,128,124,154,0.939825347665,2.17996599976,138,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.859681114063,1,1.54022430062,144.0,1.5
1,1,0,0,23,1,2,1,1,0,1,1,127,4,144,68,144,68,172,0.339887302853,1.64996971347,156,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.349649000724,1,1.36013871712,165.0,1.5
1,1,1,1,23,2,1,1,1,0,1,1,128,4,28,38,38,28,4,0.359922685215,2.09989688157,38,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.709574390092,1,1.4201814668,27.0,1.1
