cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
0,0,0,1,12,1,2,0,2,2,1,1,1,1,141,99,99,141,141,1.70965286995,3.08969443975,122,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.719555290896,1,1.84012723314,96.0,1.2
1,1,1,0,12,2,1,2,2,0,1,1,2,1,148,16,148,16,126,0.609914799341,1.74989769792,163,[ 2.],2,13,23,33,43,53,63,73,78,1,1.0595476235,1,2.25001336987,149.0,1.2
0,0,1,0,12,2,1,0,2,2,1,1,3,1,2,47,2,47,62,0.559886226863,2.38971835531,179,[ 1.5],1,11,21,31,41,51,61,71,76,1,0.589527691867,1,1.28014666603,166.0,1.0
1,1,0,1,12,1,2,2,2,0,1,1,4,1,22,151,151,22,158,0.429853520243,1.5798518077,160,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.559520282852,1,1.17042054718,146.0,1.4
0,0,1,0,12,2,1,0,2,2,1,1,5,1,152,179,152,179,3,0.499972659356,2.14983334225,161,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.629594955863,1,1.68008892019,146.0,1.1
1,1,1,1,12,2,1,1,1,0,1,1,6,1,125,10,10,125,157,0.409933607301,1.76989122029,173,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.629584740673,1,1.30048179624,156.0,1.1
1,1,0,1,12,1,2,2,2,0,1,1,7,1,121,111,111,121,13,0.369912612088,1.8498178392,129,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.479590058581,1,1.07019875747,108.0,1.2
1,1,1,0,12,2,1,2,2,0,1,1,8,1,80,79,80,79,60,1.1697526543,2.1697706811,60,[ 1.5],2,13,23,33,43,53,63,73,78,1,0.44954028659,1,1.52000794381,76.0,1.2
0,0,1,0,12,2,1,0,2,2,1,1,9,1,24,31,24,31,130,0.45987595159,2.25970307459,41,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.549708897248,1,1.53021381586,59.0,1.0
1,1,0,1,12,1,2,2,2,0,1,1,10,1,161,113,113,161,84,0.429861932749,2.01981776108,125,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.429603248191,1,1.26014713473,109.0,1.1
