"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session"
"1",0,0,1,0,21,2,1,0,2,2,1,1,1,1,113,46,113,46,123,0.669904193212,2.09981098237,124,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.429686554029,1,1.14015877961,153,1,"b"
"2",0,0,1,1,21,2,1,0,1,1,1,1,2,1,96,29,29,96,48,0.869838933906,1.82986941228,49,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.479682032148,1,1.23024907001,29,1.1,"b"
"3",0,0,1,0,21,2,1,0,2,2,1,1,3,1,142,66,142,66,9,0.859859548276,1.90998151888,145,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.339707733257,1,1.0204253813,109,1.2,"b"
"4",0,0,1,1,21,2,1,0,1,1,1,1,4,1,7,8,8,7,117,1.05975252542,2.10986698459,14,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.379695883224,1,0.950254802734,-1,1.4,"b"
"5",1,1,1,0,21,2,1,2,2,0,1,1,5,1,71,8,71,8,78,0.399883001963,1.30995345617,67,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.359726896419,1,1.24023236158,49,1.2,"b"
"6",1,1,0,1,21,1,2,2,2,0,1,1,6,1,108,76,76,108,34,0.359994904245,1.4401803224,76,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.279693810071,1,0.780348356093,57,1.3,"b"
"7",0,0,0,0,21,1,2,0,1,1,1,1,7,1,129,53,129,53,158,0.639915259049,1.70013649771,119,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.399664870032,1,1.31015987027,138,1.3,"b"
"8",0,0,0,1,21,1,2,0,2,2,1,1,8,1,43,119,119,43,152,0.959864626,2.06990767851,121,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.309663214513,1,0.810275095613,138,1.5,"b"
"9",0,0,1,0,21,2,1,0,2,2,1,1,9,1,157,10,157,10,95,0.669780705299,1.59986341216,145,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.3296667539,1,0.870273395025,165,1.2,"b"
"10",1,1,0,1,21,1,2,2,2,0,1,1,10,1,122,108,108,122,174,0.34983854932,1.6098307795,118,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.329678772187,1,1.15037973284,133,1.2,"b"
"11",1,1,0,0,21,1,2,1,1,0,1,1,11,1,138,21,138,21,89,0.329882181717,1.54993824102,130,"[ 1.5]",2,13,23,33,43,53,63,73,78,1,0.3296667539,1,1.24027021919,148,1.3,"b"
"12",1,1,0,0,21,1,2,1,1,0,1,1,12,1,175,5,175,5,111,0.289965240105,2.05987961882,168,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,1.40955742353,1,2.0400812917,-177,1.3,"b"
"13",1,1,0,1,21,1,2,2,2,0,1,1,13,1,173,145,145,173,156,0.329853938738,1.52995272907,156,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.359687236067,1,1.22021470071,171,1.5,"b"
"14",1,1,0,0,21,1,2,1,1,0,1,1,14,1,24,139,24,139,72,0.309908087136,1.30993272463,34,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.329698602363,1,0.950235273014,18,1.2,"b"
"15",0,0,0,1,21,1,2,0,2,2,1,1,15,1,154,36,36,154,108,0.699879005884,1.76994352306,25,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.32971182248,1,0.890267019324,8,1.4,"b"
"16",1,1,0,1,21,1,2,2,2,0,1,1,16,1,85,123,123,85,115,0.32993115624,1.62992445604,124,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.359657791261,1,1.16026988268,142,1.2,"b"
"17",1,1,1,1,21,2,1,1,1,0,1,1,17,1,57,78,78,57,150,0.309913194909,1.28991596512,77,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.299667303736,1,1.00035754408,62,1.1,"b"
"18",1,1,0,0,21,1,2,1,1,0,1,1,18,1,147,88,147,88,37,0.349932291969,1.53995374762,119,"[ 1.5]",2,13,23,33,43,53,63,73,78,1,0.289651863241,1,1.20023339516,140,1.3,"b"
"19",0,0,0,0,21,1,2,0,1,1,1,1,19,1,124,138,124,138,10,0.709874916662,2.2297773522,139,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.429634574932,1,1.12020751978,159,1.2,"b"
