cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
0,0,0,0,1,1,2,0,1,1,1,1,311,10,40,47,40,47,141,0.789782862314,2.49976730205,31,[ 2.],1,11,21,31,41,51,61,71,76,1,0.43962877691,1,1.2002190876,49.0,1.5
0,0,1,0,1,2,1,0,2,2,1,1,312,10,176,175,176,175,2,0.479934646277,1.64992132736,166,[ 1.7],1,11,21,31,41,51,61,71,76,1,0.509600705935,1,1.21017597614,156.0,1.5
1,1,1,1,1,2,1,1,1,0,1,1,313,10,5,96,96,5,173,0.449947105906,2.10977454588,97,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.449672495282,1,1.31022317672,109.0,1.2
0,0,0,0,1,1,2,0,1,1,1,1,314,10,80,12,80,12,62,0.519861348675,1.40991103998,75,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.439583108622,1,1.73002891223,87.0,1.4
0,0,1,1,1,2,1,0,1,1,1,1,315,10,110,128,128,110,35,0.599823516102,2.52976625949,113,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.549699265312,1,1.76014053815,126.0,1.1
1,1,1,1,1,2,1,1,1,0,1,1,316,10,14,87,87,14,104,1.77967154286,2.82971797729,95,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.599633331722,1,1.50014616857,104.0,1.4
1,1,1,0,1,2,1,2,2,0,1,1,317,10,142,144,142,144,47,1.5097181816,2.98964171125,150,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.49960746304,1,1.1701843767,165.0,1.2
1,1,0,1,1,1,2,2,2,0,1,1,318,10,173,174,174,173,18,2.43961766029,3.95952798219,166,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.599663677096,1,1.4101453904,156.0,1.3
0,0,0,1,1,1,2,0,2,2,1,1,319,10,15,85,85,15,160,0.709818291291,2.09986663057,80,[ 2.],1,12,22,32,42,52,62,72,77,1,0.449604894198,1,1.24020317581,96.0,1.3
0,0,1,1,1,2,1,0,1,1,1,1,320,10,116,32,32,116,31,0.669775915927,1.91978034755,38,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.729652148859,1,1.58017653798,49.0,1.0
